0,0,0,quantité,date
1,1,1,26,2019-12-08
2,2,2,24,2019-12-08
3,3,3,33,2019-12-08
4,4,2,29,2019-12-08
5,5,4,31,2019-12-08
6,6,5,37,2019-12-08
7,7,6,44,2019-12-08
8,1,7,23,2019-12-08
9,8,8,22,2019-12-09
10,9,9,20,2019-12-09
11,4,2,35,2019-12-09
12,10,10,2,2019-12-09
13,11,11,37,2019-12-09
14,12,9,11,2019-12-09
15,13,12,14,2019-12-09
16,4,9,11,2019-12-09
17,4,3,29,2019-12-09
18,14,13,14,2019-12-09
19,15,9,43,2019-12-09
20,16,14,21,2019-12-09
21,17,15,36,2019-12-09
22,11,15,39,2019-12-09
23,18,14,46,2019-12-09
24,5,16,17,2019-12-09
25,19,5,21,2019-12-09
26,16,17,46,2019-12-10
27,15,18,43,2019-12-10
28,20,19,34,2019-12-10
29,21,15,42,2019-12-10
30,5,9,19,2019-12-10
31,22,15,38,2019-12-10
32,23,4,21,2019-12-10
33,3,20,29,2019-12-11
34,5,9,14,2019-12-11
35,19,21,50,2019-12-11
36,19,6,14,2019-12-11
37,24,4,12,2019-12-11
38,8,2,12,2019-12-11
39,22,8,18,2019-12-11
40,13,22,28,2019-12-11
41,5,15,13,2019-12-11
42,9,1,47,2019-12-11
43,25,6,38,2019-12-12
44,26,8,33,2019-12-12
45,27,15,14,2019-12-12
46,6,23,13,2019-12-12
47,28,6,17,2019-12-12
48,22,20,45,2019-12-12
49,29,10,22,2019-12-12
50,5,5,31,2019-12-12
51,25,24,45,2019-12-13
52,30,7,1,2019-12-13
53,31,25,39,2019-12-13
54,5,5,43,2019-12-13
55,32,12,6,2019-12-13
56,20,6,14,2019-12-13
57,33,11,11,2019-12-13
58,5,1,16,2019-12-13
59,16,26,34,2019-12-13
60,34,20,5,2019-12-14
61,1,13,2,2019-12-14
62,35,2,39,2019-12-14
63,36,27,23,2019-12-14
64,31,13,27,2019-12-14
65,29,5,35,2019-12-14
66,37,1,46,2019-12-14
67,38,11,36,2019-12-14
68,39,6,13,2019-12-14
69,40,18,37,2019-12-14
70,26,16,43,2019-12-15
71,41,13,49,2019-12-15
72,39,16,16,2019-12-15
73,42,28,41,2019-12-15
74,5,7,19,2019-12-15
75,6,2,7,2019-12-15
76,26,15,30,2019-12-15
77,43,1,40,2019-12-15
78,44,6,14,2019-12-16
79,45,28,14,2019-12-16
80,5,6,20,2019-12-16
81,46,23,18,2019-12-16
82,16,15,47,2019-12-16
83,4,28,26,2019-12-16
84,2,8,44,2019-12-16
85,47,6,9,2019-12-17
86,5,15,32,2019-12-17
87,48,13,24,2019-12-17
